Date,Open,Close,High,Low,Volume
2020-01-23,58.14,54.41,58.2,52.31,1801772.25
2020-01-22,57.6,58.14,59.1,57.17,936806.54
2020-01-21,57.11,57.6,57.98,55.84,655859.14
2020-01-20,57.71,57.11,58.16,55.78,908592.67
2020-01-19,59.36,57.71,62.4,55.42,1758717.07
2020-01-18,61.12,59.36,62.39,57.94,2279865.82
2020-01-17,57.53,61.12,63.16,56.75,3614338.74
2020-01-16,58.12,57.53,58.44,54.7,1710576.87
2020-01-15,58.55,58.12,60.17,55.13,2704732.42
2020-01-14,49.55,58.55,60.73,49.55,5862674.07
2020-01-13,51.5,49.55,51.6,48.89,1197905.89
2020-01-12,49.44,51.5,51.72,48.82,1148833.54
2020-01-11,48.97,49.44,51.94,47.79,2139750.8
2020-01-10,44.84,48.97,49.64,43.74,1890996.98
2020-01-09,45.31,44.84,45.83,43.91,610146.09
2020-01-08,46.42,45.31,48.79,44.12,1801759.46
2020-01-07,45.82,46.42,46.87,44.51,1542759.14
2020-01-06,43.26,45.82,46.08,43.12,973762.44
2020-01-05,42.76,43.26,44.56,42.57,717050.56
2020-01-04,42.02,42.76,42.79,41.8,326540.23
2020-01-03,39.32,42.02,42.34,38.74,807859.08
2020-01-02,41.52,39.32,41.59,39.04,368176.87
2020-01-01,41.15,41.52,41.93,41.06,197575.51
2019-12-31,42.22,41.15,42.94,40.86,397355.63
2019-12-30,43.09,42.22,44.0,41.71,504874.22
2019-12-29,42.7,43.09,43.67,42.14,484954.46
2019-12-28,40.97,42.7,43.64,40.92,471616.76
2019-12-27,39.95,40.97,41.29,39.58,289790.86
2019-12-26,40.04,39.95,41.64,39.6,435126.14
2019-12-25,40.3,40.04,40.39,39.42,224228.55
2019-12-24,40.58,40.3,41.12,39.7,505845.44
2019-12-23,41.95,40.58,42.66,40.28,578489.31
2019-12-22,39.72,41.95,42.15,39.67,418026.44
2019-12-21,40.15,39.72,40.19,39.49,381146.95
2019-12-20,39.69,40.15,40.34,39.29,376716.17
2019-12-19,40.83,39.69,41.09,39.14,517941.06
2019-12-18,36.86,40.83,41.59,35.82,1142920.05
2019-12-17,39.87,36.86,40.04,36.21,1416107.74
2019-12-16,43.42,39.87,43.52,38.88,794737.4
2019-12-15,43.29,43.42,43.97,42.93,344855.76
